test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,score_type,test_type,description
basc3_prs_adolescent,BASC-3 PRS Adolescent,Depression,Behavioral/Emotional/Social,Internalizing Problems,Mood,NA,NA,NA,t_score,rating_scale,depressive behaviors (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Externalizing Problems,Behavioral/Emotional/Social,Externalizing Problems,Disruptive Behavior,NA,NA,NA,t_score,rating_scale,Externalizing Problems composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Functional Communication,Behavioral/Emotional/Social,Adaptive Skills,Adaptive,NA,NA,NA,t_score,rating_scale,exhibits appropriate expressive and receptive communication skills and displays a strong ability to seek out and find new information independently (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Hyperactivity,Behavioral/Emotional/Social,Externalizing Problems,ADHD,NA,NA,NA,t_score,rating_scale,level of self-control (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Internalizing Problems,Behavioral/Emotional/Social,Internalizing Problems,Mood,NA,NA,NA,t_score,rating_scale,Internalizing Problems composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Leadership,Behavioral/Emotional/Social,Adaptive Skills,Social,NA,NA,NA,t_score,rating_scale,"creative, works well under pressure, and/or can effectively unite others to work together (parent rated)"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Social Skills,Behavioral/Emotional/Social,Adaptive Skills,Social,NA,NA,NA,t_score,rating_scale,socially adept and at ease (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Somatization,Behavioral/Emotional/Social,Internalizing Problems,Personality,NA,NA,NA,t_score,rating_scale,health-related problems (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Withdrawal,Behavioral/Emotional/Social,Behavioral Symptoms Index,ASD,NA,NA,NA,t_score,rating_scale,avoid social situations and appears to be capable of developing and maintaining friendships with others (parent rated)
basc3_prs_preschool,BASC-3 PRS Preschool,Activities of Daily Living,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,NA,NA,NA,t_score,rating_scale,adequately perform simple daily tasks in a safe and efficient manner
basc3_prs_preschool,BASC-3 PRS Preschool,Adaptability,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,NA,NA,NA,t_score,rating_scale,adapting to most situations and takes longer to recover from difficult situations
basc3_prs_preschool,BASC-3 PRS Preschool,Adaptive Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive Skills,NA,NA,NA,t_score,rating_scale,Adaptive Skills composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Aggression,Behavioral/Emotional/Social,Externalizing Problems,Executive Functioning,NA,NA,NA,t_score,rating_scale,Ratings of aggressive behavior and to act aggressively
basc3_prs_preschool,BASC-3 PRS Preschool,Anxiety,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,NA,NA,NA,t_score,rating_scale,anxiety-based behaviors
basc3_prs_preschool,BASC-3 PRS Preschool,Attention Problems,Behavioral/Emotional/Social,Behavioral Symptoms Index,Executive Functioning,NA,NA,NA,t_score,rating_scale,maintaining necessary levels of attention
basc3_prs_preschool,BASC-3 PRS Preschool,Atypicality,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,NA,NA,NA,t_score,rating_scale,"behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral Symptoms Index,Behavioral/Emotional/Social,Behavioral Symptoms Index,Behavioral Symptoms Index,NA,NA,NA,t_score,rating_scale,Behavioral Symptoms Index composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Depression,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,NA,NA,NA,t_score,rating_scale,depressive behaviors
basc3_prs_preschool,BASC-3 PRS Preschool,Externalizing Problems,Behavioral/Emotional/Social,Externalizing Problems,Externalizing Problems,NA,NA,NA,t_score,rating_scale,Externalizing Problems composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Functional Communication,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,NA,NA,NA,t_score,rating_scale,expressive and receptive communication skills and an ability to seek out and find new information independently
basc3_prs_preschool,BASC-3 PRS Preschool,Hyperactivity,Behavioral/Emotional/Social,Externalizing Problems,Executive Functioning,NA,NA,NA,t_score,rating_scale,"disruptive, impulsive, and uncontrolled behaviors"
basc3_prs_preschool,BASC-3 PRS Preschool,Internalizing Problems,Behavioral/Emotional/Social,Internalizing Problems,Internalizing Problems,NA,NA,NA,t_score,rating_scale,Internalizing Problems composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Social Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,NA,NA,NA,t_score,rating_scale,complimenting others and making suggestions for improvement in a tactful and socially acceptable manner
basc3_prs_preschool,BASC-3 PRS Preschool,Somatization,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,NA,NA,NA,t_score,rating_scale,health-related problems
basc3_prs_preschool,BASC-3 PRS Preschool,Withdrawal,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,NA,NA,NA,t_score,rating_scale,avoidant of social situations and appears to be capable of developing and maintaining friendships with others
bdi2,BDI-2,BDI-2 Total Score,Behavioral/Emotional/Social,Depression,Depression,NA,NA,NA,t_score,rating_scale,"A brief, self-report inventory designed to measure the severity of depression symptomatology"
bsra4,BSRA-4,Colors,Academic Skills,School Readiness,Colors,Sequential,Verbal,Untimed,percent_mastery,npsych_test,"subtest measures the child's ability to identify primary colors, secondary colors, and basic color terms"
bsra4,BSRA-4,Letters,Academic Skills,School Readiness,Letters,Sequential,Verbal,Untimed,percent_mastery,npsych_test,subtest measures the child's ability to identify uppercase and lowercase letters
bsra4,BSRA-4,Numbers/Counting,Academic Skills,School Readiness,Numbers/Counting,Sequential,Verbal,Untimed,percent_mastery,npsych_test,"subtest measures the child's ability to identify one-, two-, and three-digit numbers; decimals; and fractions"
bsra4,BSRA-4,School Readiness Composite (SRC),Academic Skills,School Readiness,School Readiness Composite,NA,Verbal,Untimed,standard_score,npsych_test,A measure of the patient's understanding of academic and social concepts that provides an easy and reliable way to quantify overall school readiness
bsra4,BSRA-4,Self-/Social Awareness,Academic Skills,School Readiness,Self-/Social Awareness,Knowledge,Verbal,Untimed,percent_mastery,npsych_test,"subtest, used to evaluate the patient's ability to identify concepts referencing emotional states as well as items describing kinship, relative ages, and social appropriateness"
bsra4,BSRA-4,Shapes,Academic Skills,School Readiness,Shapes,Simultaneous,Verbal,Untimed,percent_mastery,npsych_test,"subtest measures the child's ability to identify one-, two-, and three-dimensional shapes"
bsra4,BSRA-4,Sizes/Comparisons,Academic Skills,School Readiness,Sizes/Comparisons,Simultaneous,Verbal,Untimed,percent_mastery,npsych_test,"subtest measures the child's ability to identify one-, two-, or three-dimensional concepts as well as the ability to match, differentiate, or compare objects based on one or more of their characteristics"
caars2_or,CAARS-2 Observer,ADHD Hyperactive/Impulsive Symptoms,ADHD,Hyperactivity/Impulsivity,Hyperactivity Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
caars2_or,CAARS-2 Observer,ADHD Inattentive Symptoms,ADHD,Inattention,Inattention Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
caars2_or,CAARS-2 Observer,ADHD Index,ADHD,ADHD Index,ADHD Index Observer-Report,NA,NA,NA,t_score,rating_scale,composite indicator for identifying individuals 'at-risk' for ADHD (observer reported)
caars2_or,CAARS-2 Observer,CAARS 2-ADHD Index,ADHD,Adult ADHD Index,CAARS2 ADHD Index,NA,NA,NA,t_score,rating_scale,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR ADHD Hyperactive/Impulsive Symptoms,ADHD,Hyperactivity/Impulsivity,Hyperactivity Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR ADHD Inattentive Symptoms,ADHD,Inattention,Inattention Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR ADHD Index,ADHD,ADHD Index,ADHD Index Observer-Report,NA,NA,NA,t_score,rating_scale,composite indicator for identifying individuals 'at-risk' for ADHD (observer reported)
caars2_or,CAARS-2 Observer-Report,CAARS2-OR Emotional Dysregulation,ADHD,Emotion/Mood,Emotion/Mood Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., poor regulation of emotions"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR Hyperactivity,ADHD,Hyperactivity,Hyperactivity Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR Impulsivity,ADHD,Impulsivity,Impulsivity Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR Inattention/Executive Dysfunction,ADHD,Attention/Executive,Inattention Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR Negative Self-Concept,ADHD,Self-Concept,Self-Concept Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_or,CAARS-2 Observer-Report,CAARS2-OR Total ADHD Symptoms,ADHD,Combined Symptoms,Combined Symptoms Observer-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
caars2_or,CAARS-2 Observer,Emotional Dysregulation,ADHD,Emotion/Mood,Impulsivity,NA,NA,NA,t_score,rating_scale,"i.e., has a hard time calming down, has trouble hiding their emotions"
caars2_or,CAARS-2 Observer,Hyperactivity,ADHD,Hyperactivity,Hyperactivity,NA,NA,NA,t_score,rating_scale,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
caars2_or,CAARS-2 Observer,Impulsivity,ADHD,Impulsivity,Impulsivity,NA,NA,NA,t_score,rating_scale,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
caars2_or,CAARS-2 Observer,Inattention/Executive Dysfunction,ADHD,Attention/Executive,Inattention,NA,NA,NA,t_score,rating_scale,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
caars2_or,CAARS-2 Observer,Negative Self-Concept,ADHD,Self-Concept,Self-Esteem,NA,NA,NA,t_score,rating_scale,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_or,CAARS-2 Observer,Total ADHD Symptoms,ADHD,Combined Symptoms,Combined Symptoms,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
caars2_sr,CAARS-2 Self,ADHD Hyperactive/Impulsive Symptoms,ADHD,Hyperactivity/Impulsivity,Hyperactivity,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
caars2_sr,CAARS-2 Self,ADHD Inattentive Symptoms,ADHD,Inattention,Inattention,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
caars2_sr,CAARS-2 Self,CAARS 2-ADHD Index,ADHD,Adult ADHD Index,CAARS2 ADHD Index,NA,NA,NA,t_score,rating_scale,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR ADHD Hyperactive/Impulsive Symptoms,ADHD,Hyperactivity/Impulsivity,Hyperactivity Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR ADHD Inattentive Symptoms,ADHD,Inattention,Inattention Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR ADHD Index,ADHD,ADHD Index,ADHD Index Self-Report,NA,NA,NA,t_score,rating_scale,composite indicator for identifying individuals 'at-risk' for ADHD (self-reported)
caars2_sr,CAARS-2 Self-Report,CAARS2-SR Emotional Dysregulation,ADHD,Emotion/Mood,Self-Concept Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR Hyperactivity,ADHD,Hyperactivity,Hyperactivity Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR Impulsivity,ADHD,Impulsivity,Impulsivity Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR Inattention/Executive Dysfunction,ADHD,Attention/Executive,Inattention Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR Negative Self-Concept,ADHD,Self-Concept,Self-Concept Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_sr,CAARS-2 Self-Report,CAARS2-SR Total ADHD Symptoms,ADHD,Combined Symptoms,Combined Symptoms Self-Report,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
caars2_sr,CAARS-2 Self,Emotional Dysregulation,ADHD,Emotion/Mood,Impulsivity,NA,NA,NA,t_score,rating_scale,"i.e., has a hard time calming down, has trouble hiding their emotions"
caars2_sr,CAARS-2 Self,Hyperactivity,ADHD,Hyperactivity,Hyperactivity,NA,NA,NA,t_score,rating_scale,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
caars2_sr,CAARS-2 Self,Impulsivity,ADHD,Impulsivity,Impulsivity,NA,NA,NA,t_score,rating_scale,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
caars2_sr,CAARS-2 Self,Inattention/Executive Dysfunction,ADHD,Attention/Executive,Inattention,NA,NA,NA,t_score,rating_scale,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
caars2_sr,CAARS-2 Self,Negative Self-Concept,ADHD,Self-Concept,Self-Esteem,NA,NA,NA,t_score,rating_scale,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_sr,CAARS-2 Self,Total ADHD Symptoms,ADHD,Combined Symptoms,Combined Symptoms,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
cars2,CARS-2,Activity Level,Social Cognition,Autism Spectrum,Activity Level,NA,NA,NA,raw_score,rating_scale,CARS-2 Activity Level
cars2,CARS-2,Adaptation to Change,Social Cognition,Autism Spectrum,Adaptation to Change,NA,NA,NA,raw_score,rating_scale,CARS-2 Adaptation to Change
cars2,CARS-2,Body Use,Social Cognition,Autism Spectrum,Body Use,NA,NA,NA,raw_score,rating_scale,CARS-2 Body Use
cars2,CARS-2,CARS-2 Total Score,Social Cognition,Autism Spectrum,CARS-2 Total Score,NA,NA,NA,raw_score,rating_scale,A semi-structured interview of high-functioning ASD
cars2,CARS-2,Emotional Response,Social Cognition,Autism Spectrum,Emotional Response,NA,NA,NA,raw_score,rating_scale,CARS-2 Emotional Response
cars2,CARS-2,Fear or Nervousness,Social Cognition,Autism Spectrum,Fear or Nervousness,NA,NA,NA,raw_score,rating_scale,CARS-2 Fear or Nervousness
cars2,CARS-2,General Impressions,Social Cognition,Autism Spectrum,General Impressions,NA,NA,NA,raw_score,rating_scale,CARS-2 General Impressions
cars2,CARS-2,Imitation,Social Cognition,Autism Spectrum,Imitation,NA,NA,NA,raw_score,rating_scale,CARS-2 Imitation
cars2,CARS-2,Level of Consistency of Intellectual Response,Social Cognition,Autism Spectrum,Level of Consistency of Intellectual Response,NA,NA,NA,raw_score,rating_scale,CARS-2 Level of Consistency of Intellectual Response
cars2,CARS-2,Listening Response,Social Cognition,Autism Spectrum,Listening Response,NA,NA,NA,raw_score,rating_scale,CARS-2 Listening Response
cars2,CARS-2,Nonverbal Communication,Social Cognition,Autism Spectrum,Nonverbal Communication,NA,NA,NA,raw_score,rating_scale,CARS-2 Nonverbal Communication
cars2,CARS-2,Object Use,Social Cognition,Autism Spectrum,Object Use,NA,NA,NA,raw_score,rating_scale,CARS-2 Object Use
cars2,CARS-2,Relating to People,Social Cognition,Autism Spectrum,Relating to People,NA,NA,NA,raw_score,rating_scale,CARS-2 Relating to People
cars2,CARS-2,"Taste, Smell, and Touch Response and Use",Social Cognition,Autism Spectrum,"Taste, Smell, and Touch Response and Use",NA,NA,NA,raw_score,rating_scale,"CARS-2 Taste, Smell, and Touch Response and Use"
cars2,CARS-2,Verbal Communication,Social Cognition,Autism Spectrum,Verbal Communication,NA,NA,NA,raw_score,rating_scale,CARS-2 Verbal Communication
cars2,CARS-2,Visual Response,Social Cognition,Autism Spectrum,Visual Response,NA,NA,NA,raw_score,rating_scale,CARS-2 Visual Response
cars2_hf,CARS 2-HF,Adaptation to Change/Restricted Interests,Social Cognition,ASD/Asperger's,Adaptation to Change/Restricted Interests,NA,NA,NA,raw_score,rating_scale,This scale looks at Biggie's flexibility in adapting to changes and the presence of restricted interests. A moderately atypical score indicates significant resistance to change and a strong preference for routine and specific interests.
cars2_hf,CARS 2-HF,Body Use,Social Cognition,ASD/Asperger's,Body Use,NA,NA,NA,raw_score,rating_scale,"This scale assesses Biggie's use of body movements in a socially appropriate manner. A moderately atypical score reflects challenges in using body language effectively, which may include repetitive or unusual movements."
cars2_hf,CARS 2-HF,CARS 2-HF Total Score,Social Cognition,ASD/Asperger's,CARS 2-HF Total Score,NA,NA,NA,t_score,rating_scale,"The total score summarizes Biggie's overall level of autism spectrum disorder severity. A high score indicates severe symptoms, suggesting significant challenges in social, communication, and behavioral domains."
cars2_hf,CARS 2-HF,Emotional Expression and Regulation of Emotions,Social Cognition,ASD/Asperger's,Emotional Expression and Regulation of Emotions,NA,NA,NA,raw_score,rating_scale,"This scale measures Biggie's capacity to express emotions appropriately and regulate emotional responses. A severely impaired score suggests profound difficulties in managing and expressing emotions, which may lead to inappropriate emotional reactions and difficulty in emotional regulation."
cars2_hf,CARS 2-HF,Fear or Anxiety,Social Cognition,ASD/Asperger's,Fear or Anxiety,NA,NA,NA,raw_score,rating_scale,"This scale assesses Biggie's levels of fear and anxiety. A severely impaired score suggests high levels of anxiety and fear, which can significantly impact daily functioning and interactions."
cars2_hf,CARS 2-HF,General Impressions,Social Cognition,ASD/Asperger's,General Impressions,NA,NA,NA,raw_score,rating_scale,This scale provides a general impression of Biggie's overall functioning related to ASD. A moderate-to-severe score indicates significant autism spectrum traits affecting various aspects of daily life.
cars2_hf,CARS 2-HF,Level of Consistency of Intellectual Response,Social Cognition,ASD/Asperger's,Level of Consistency of Intellectual Response,NA,NA,NA,raw_score,rating_scale,This scale evaluates the consistency of Biggie's intellectual responses. An expected range score suggests stable and reliable cognitive performance.
cars2_hf,CARS 2-HF,Listening Response,Social Cognition,ASD/Asperger's,Listening Response,NA,NA,NA,raw_score,rating_scale,This scale evaluates Biggie's ability to respond appropriately to auditory information. A moderately atypical score indicates significant challenges in processing and responding to spoken language.
cars2_hf,CARS 2-HF,Nonverbal Communication,Social Cognition,ASD/Asperger's,Nonverbal Communication,NA,NA,NA,raw_score,rating_scale,"This scale assesses Biggie's use of nonverbal communication. A moderately atypical score suggests challenges in using gestures, facial expressions, and other nonverbal cues."
cars2_hf,CARS 2-HF,Object Use in Play,Social Cognition,ASD/Asperger's,Object Use in Play,NA,NA,NA,raw_score,rating_scale,"This scale examines Biggie's ability to use objects in play in a typical manner. A mildly atypical score suggests slight deviations from typical play behavior, possibly including repetitive use of objects or limited imagination in play."
cars2_hf,CARS 2-HF,Relating to People,Social Cognition,ASD/Asperger's,Relating to People,NA,NA,NA,raw_score,rating_scale,"This scale evaluates how Biggie interacts with others. A score of moderately atypical indicates noticeable difficulties in forming and maintaining relationships, often resulting in awkward or unusual social interactions."
cars2_hf,CARS 2-HF,Social-Emotional Understanding,Social Cognition,ASD/Asperger's,Social-Emotional Understanding,NA,NA,NA,raw_score,rating_scale,"This scale assesses Biggie's ability to understand and appropriately respond to social and emotional cues from others. A moderately impaired score indicates significant challenges in recognizing and interpreting social-emotional information, impacting daily social interactions."
cars2_hf,CARS 2-HF,"Taste, Smell, and Touch Response and Use",Social Cognition,ASD/Asperger's,"Taste, Smell, and Touch Response and Use",NA,NA,NA,raw_score,rating_scale,"This scale measures Biggie's sensory responses related to taste, smell, and touch. A moderately atypical score reflects unusual sensory responses, which may include hyper- or hypo-sensitivity to sensory stimuli."
cars2_hf,CARS 2-HF,Thinking/Cognitive Integration Skills,Social Cognition,ASD/Asperger's,Thinking/Cognitive Integration Skills,NA,NA,NA,raw_score,rating_scale,This scale measures Biggie's cognitive integration skills. An age-appropriate score indicates typical cognitive abilities in processing and integrating information.
cars2_hf,CARS 2-HF,Verbal Communication,Social Cognition,ASD/Asperger's,Verbal Communication,NA,NA,NA,raw_score,rating_scale,"This scale evaluates Biggie's verbal communication skills. A moderately atypical score indicates difficulties in using spoken language effectively, which may include limited vocabulary or unusual speech patterns."
cars2_hf,CARS 2-HF,Visual Response,Social Cognition,ASD/Asperger's,Visual Response,NA,NA,NA,raw_score,rating_scale,"This scale assesses Biggie's responses to visual stimuli. A score of moderately-to-severely atypical suggests substantial difficulties in processing visual information, which may affect attention and perception."
cefi_sr,CEFI Self,Attention,ADHD,Executive Function,Attention,NA,NA,NA,standard_score,rating_scale,"i.e., avoid distractions, concentrate on tasks, and sustain attention"
cefi_sr,CEFI Self-Report,CEFI-SR Attention,ADHD,Executive Function,Attention,NA,NA,NA,standard_score,rating_scale,"i.e., avoid distractions, concentrate on tasks, and sustain attention"
